id,name,description,type,orbit_id
84,Jason 3,Jason 3 is a scientific Earth observation satellite designed to monitor and precisely measure the worldâ€™s oceans. The final flight of Falcon 9 v1.1.,Earth Science,8
97,Orbcomm OG2 Mission 2,11 next generation Orbcomm-2 F satellites will be launched into Low Earth Orbit to enhance Orbcommâ€™s existing M2M network. The satellites will feature larger message and better performance; as well as providing better global coverage. Each of the new second generation satellites will be equivalent to 6 first generation craft.,Communications,8
111,SpX CRS-9,SpaceX launched the Dragon spacecraft on their ninth operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
112,Amos 6 (Failure before launch),"**FAILURE: Rocket and payload lost during anomaly originating around the upper stage oxygen tank during propellant load few minutes before static fire on Sept 1; 1307UTC.**   Built to replace the existing AMOS-2 satellite, AMOS-6 will be positioned in a geostationary orbit at 4 degrees west. The 5500kg craft will contain 43 Ku/Ka-band transponders and 2 S-band transponders to provide communications coverage for Africa, Europe and the Middle East. The 2 solar arrays on the craft will provide 9kW of power for the satelliteâ€™s 16 year expected lifetime.",Communications,2
118,SpX CRS-8,SpaceX launched the Dragon spacecraft on their eighth operational cargo delivery mission to the International Space Station. Among the cargo was the Bigelow Aerospaceâ€™s BEAM module; which was attached to the station and will stay so for 2 years. BEAM is an expandable habitat module that will undergo tests to determine its worthiness during the stay. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
119,JCSAT-14,"Built on the LS-1300 bus by SSL; JCSAT-14 will replace JCSAT 2A in geostationary orbit. Positioned at 154 degrees east, the satellite will provide high speed connectivity for maritime, aviation and resource exploration in Asia, Russia, Oceania and the Pacific. The craft contains 26 C and 18 Ku-band transponders, which are powered by 2 solar arrays for its 15 year lifetime.",Communications,2
123,SpX CRS-10,SpaceX launched the Dragon spacecraft on their tenth operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
130,Iridium-1,"SpaceXâ€™s Falcon 9 rocket will deliver 10 satellites to low Earth orbit for Iridium; a global leader in mobile voice and data satellite communications. This is the first set of 10 satellites in a series of 75 total satellites that SpaceX will launch for Iridiumâ€™s next generation global satellite constellation, IridiumÂ® NEXT.",Communications,8
131,Iridium-2,"SpaceXâ€™s Falcon 9 rocket will deliver 10 satellites to low Earth orbit for Iridium; a global leader in mobile voice and data satellite communications. This is the second set of 10 satellites in a series of 75 total satellites that SpaceX will launch for Iridiumâ€™s next generation global satellite constellation, IridiumÂ® NEXT.",Communications,8
132,Formosat 5,Formosat 5 is an Earth observation satellite developed by the Taiwan's National Space Organization (NSPO). Weighing about 475 kg; it will reside in a sun-synchronous orbit at 720-km altitude.,Earth Science,17
134,SAOCOM 1A,The SAOCOM 1A spacecraft is the first of the two SAOCOM constellation satellites. It is tasked with hydrology and land observaion; and will also operate jointly with the Italian COSMO-SkyMed constellation in X-band to provide frequent information relevant for emergency management.,Communications,17
164,Thaicom 8,Thaicom 8 will be launched into a geostationary transfer orbit (GTO) on a Falcon 9 Full Trust for a 30 days testing phase following a in orbit burn of the satellite propulsion system to put the spacecraft into a geosynchronous orbit (GSO)at 78.5 degrees east longitude. Where Thaicom 8 will provide broadcast and data services for up to 15 years. The Falcon 9 first stage will test a experimental ballistic landing off the coast where it is schedule to land on the Autonomous Spaceport Drone Ship (ASDS). Even if the landing fails the knowledge learned from the attempt will help for future missions.,Communications,2
169,NROL-76,Classified payload for the U.S. National Reconnaissance Office.,Government/Top Secret,8
212,JCSAT-16,JCSAT-16 is planned to be a communication satellite for SKY Perfect JSAT. The 8.5-kW satellite will operate in Ku- and Ka-bands and is equipped with switching for flexibility. JCSAT-16 will enhance SKY Perfect JSATâ€™s fleet capacity and strengthen the services provided to various regions.JCSAT is schedule for a life time of 15 years.,Communications,2
236,Koreasat 5A,"Koreasat 5A is a telecommunitations satellite to provide internet access; fixed telecommunications, media and broadcasting services. Loaded with Ku-band transponders, this satellite will cover Korea, Japan, Indochina and Middle East.",Communications,2
243,Echostar 105/SES-11,"Echostar 105; also known as SES-11, is a partnership between Echostar and SES for a communications satellite at the orbital position of 105 degrees West. Satellite's Ku-band and C-band capacity will allow it to replace the AMC-15 and AMC-18 satellites. Echostar 105 is to provide coverage of the North America, including Hawaii, Mexico, the Caribbean.",Communications,2
250,Echostar 23,"Echostar 23 is a geostationary communications satellite; which will provide direct-to-home television broadcast services over Brazil. Being a flexible Ku-band satellite, it is capable of providing service from any of eight different orbital slots.",Communications,2
302,PAZ & Microsat-2a; Microsat-2b,"PAZ is a military Earth radar observation satellite; designed and built by Airbus Defence and Space for Spain. The satellite is owned and operated by Hisdesat. The PAZ satellite is equipped with an advanced radar instrument designed for high flexibility, and the capability to operate in numerous modes allowing for the choice of several different image configurations. It will be able to generate images with up to 25 cm resolution. Designed for a mission of five and a half years, PAZ will orbit Earth 15 times per day, covering an area of over 300,000 square kilometres. On its slightly inclined quasi-polar orbit, PAZ will cover the entire globe in 24 hours, serving both government and commercial needs. Satellite is sharing the ride with two small SpaceX satellites. These will test the technologies for the planned satellite network called Starlink, which will consist of roughly 4000 satellites providing space-based Internet around the globe.",Government/Top Secret,17
310,GSAT-20 (GSAT-N2),GSAT-20 is an Indian geostationary Ka-band high-throughput communications satellite.  GSAT 20 is reportedly built on the I-6K unified modular bus and features a Ka-band high-throughput communications payload with 70 Gbps throughput utilizing multiple spot beams providing broadband services across the Indian region.  It will be the first fully Electric Propulsion/EP enabled satellite which can be five to six times more efficient than chemical-based propulsion. It will be the first ISRO made satellite to move from Geostationary transfer orbit to Geosynchronous orbit using Electric Propulsion.,Communications,2
316,Eutelsat 117 West B & ABS-2A,"Eutelsat 117 West B and ABS 2A will be launched atop a Falcon 9 Full Thrust. Both sattelites will be launched into a geostationary orbit to provide communications services. Eutelsat 117 West B with 48 Ku-band transponders in a inclination at 116.8 degrees west will provide communications to Latin American customers in the video telecommunications and government sectors. Also Wide Are Augmentation System (WAAS) payload will enable the United States Federal Aviation Administration (FAA) improve aviation safety for the United States. ABS 2A with 48 Ku-band transponders in a inclination 78 degree orbit east. it will serve  Eastern Europe ; Russia, Middle East and India. This will be the 26 launch of the Falcon 9 and will attempt a first stage landing on the drone ship Of Course I still Love You.",Communications,2
388,Intelsat 35e,"Intelsat 35e is a geostationary communications satellite for Intelsat. It is the fourth satellite of the EpicNG service; and will cover the Americas, Europe and Sub-Saharan Africa from the 34.5Â°West orbital position.",Communications,2
390,SpX CRS-12,SpaceX launched the Dragon spacecraft on their 12th operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
397,SpX CRS-11,SpaceX launched the Dragon spacecraft on their eleventh operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA. This is the first reflight of a reused Dragon spacecraft. This Dragon capsule first flew on CRS-4.,Resupply,8
401,SpX CRS-13,SpaceX launched the Dragon spacecraft on their 13th operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
409,SpaceX COTS Demo Flight 1,"SpaceX COTS Demo Flight 1 in 2010 was the unmanned first spaceflight of the SpaceX Dragon spacecraft; the Dragon C1, which orbited the Earth, and the second overall flight of the SpaceX Falcon 9. It was also the first demonstration flight for NASA's Commercial Orbital Transportation Services (COTS) program for which SpaceX was selected. The primary mission objectives were to test the orbital maneuvering and reentry of the Dragon capsule.",Test Flight,8
412,SpaceX COTS Demo Flight 2,"SpaceX COTS Demo Flight 2 (COTS 2); was the second test-flight for SpaceX's uncrewed Dragon cargo spacecraft, launched on the third flight of the company's two-stage Falcon 9 launch vehicle. The flight was performed under a funded agreement from NASA as the second Dragon demonstration mission in the Commercial Orbital Transportation Services (COTS) program. The purpose of the COTS program is to develop and demonstrate commercial sources for cargo re-supply of the International Space Station (ISS). The Dragon C2+ spacecraft was the first American vehicle to visit the ISS since the end of the Space Shuttle program. It was also the first commercial spacecraft to rendezvous and berth with another spacecraft.",Resupply,8
421,BulgariaSat-1,BulgariaSat-1 is a geostationary communications satellite operated by Bulgaria Sat and manufactured by SSL. Its payload is composed of 30 Ku band BSS transponders and 2 Ku-band FSS transponders for fixed satellite services and high-definition television broadcasts. It is designed to deliver service for 15 years with a projected fuel life of over 20 years. BulgariaSat-1 is designed to provide direct-to-home television service and data communications services to the Balkans and other European regions.,Communications,2
439,OTV-5 (X-37B),"It is the fifth flight of the X-37B program. United States Air Force Orbital Test Vehicle; built by Boeing, is an unmanned 5000 kg, 8.8 m-long reusable mini-spaceplane capable of autonomous re-entry and landing.",Government/Top Secret,8
441,Dragon Spacecraft Qualification Unit (DSQU),"The Dragon Spacecraft Qualification Unit was a boilerplate version of the Dragon spacecraft. After using it for ground tests to rate Dragon's shape and mass in various tests; SpaceX launched it into low Earth orbit on the maiden flight of the Falcon 9 rocket. SpaceX used the launch to evaluate the aerodynamic conditions on the spacecraft and performance of the carrier rocket in a real-world launch scenario, ahead of Dragon flights for NASA under the Commercial Orbital Transportation Services program.",Test Flight,8
443,Iridium-3,"SpaceXâ€™s Falcon 9 rocket will deliver 10 satellites to low Earth orbit for Iridium; a global leader in mobile voice and data satellite communications. This is the third set of 10 satellites in a series of 75 total satellites that SpaceX will launch for Iridiumâ€™s next generation global satellite constellation, IridiumÂ® NEXT.",Communications,8
444,Iridium-4,"SpaceXâ€™s Falcon 9 rocket will deliver 10 satellites to low Earth orbit for Iridium; a global leader in mobile voice and data satellite communications. This is the fourth set of 10 satellites in a series of 75 total satellites that SpaceX will launch for Iridiumâ€™s next generation global satellite constellation, IridiumÂ® NEXT.",Communications,8
445,GovSat (SES-16),"GovSat; also known as SES-16 is a communications satellite for LuxGovSat S.A., which is a public-private joint venture between the Luxembourg government and SES. Staying in 21.5Â° East orbital position, it is intended to operate for 15 years, using X-band and military Ka-band frequencies to support multiple missions.",Communications,2
449,Inmarsat-5 F4,"Inmarsat-5 F4 is the next addition to the fifth generation of Inmarsat satellites. Inmarsat-5 satellites each carry 89 Ka-band beams and deliver high-speed mobile broadband communications for deep sea vessels; in-flight connectivity for airline passengers, streaming high-resolution video, voice and date to the enterprise sector, and secure solutions for government customers. The satellite weighs 6100 kg at launch and has an operational lifetime of 15 years.",Communications,2
456,Iridium-5,"SpaceXâ€™s Falcon 9 rocket will deliver 10 satellites to low Earth orbit for Iridium; a global leader in mobile voice and data satellite communications. This is the fifth set of 10 satellites in a series of 75 total satellites that SpaceX will launch for Iridiumâ€™s next generation global satellite constellation, IridiumÂ® NEXT.",Communications,8
458,Iridium-6 & GRACE-FO,"SpaceXâ€™s Falcon 9 rocket will deliver 10 satellites to low Earth orbit for Iridium; a global leader in mobile voice and data satellite communications. This is the sixth set of 10 satellites in a series of 75 total satellites that SpaceX will launch for Iridiumâ€™s next generation global satellite constellation, IridiumÂ® NEXT. Sharing this launch is the Gravity Recovery and Climate Experiment Follow-on mission, which is a joint project of NASA and the German Research Centre for Geosciences. It's goal is to track Earth's water movement to monitor changes in underground water storage, the amount of water in large lakes and rivers, soil moisture, ice sheets and glaciers, and sea level caused by the addition of water to the ocean.",Communications,8
459,Iridium-7,"SpaceXâ€™s Falcon 9 rocket will deliver 10 satellites to low Earth orbit for Iridium; a global leader in mobile voice and data satellite communications. This is the seventh set of 10 satellites in a series of 75 total satellites that SpaceX will launch for Iridiumâ€™s next generation global satellite constellation, IridiumÂ® NEXT.",Communications,8
466,Hispasat 30W-6 (Hispasat 1F),"Hispasat 30W-6; also known as Hispasat 1F, is a Spanish geostationary communications satellite. Joining the Hispasat fleet, this satellite is to operate in orbit for 15 years, providing services to Europe, North Africa, North America and South America. It  is a replacement for the Hispasat 1D satellite at 30Âº West longtitude in geostationary orbit. Satellite launch mass is about 6000 kg and it is equipped with Ku-, Ka- and C-band transponders.",Communications,2
474,Zuma,Unknown payload built by Northrop Grumman for an undisclosed customer; most likely a government organisation.,Government/Top Secret,8
478,Bangabandhu-1,"The Bangabandhu 1 (BD-1) satellite; the first geostationary communications satellite of Bangladesh. Satellite is to be located at 119.1Â° East longitude slot in geostationary orbit, where it will provide service to Bangladesh and neighbouring countries. Satellite is build by Thales Aleinia Space. It is based on Spacebus 4000B2 platform, weighs 3500 kg and is fitted with Ku-Band and C-Band transponders. The major applications of the spacecraft include DTH, very small aperture terminal communications, backhaul and trunking, network restoration, and disaster preparedness and relief.",Communications,2
480,SpX CRS-2,"This was the fourth flight for SpaceX's uncrewed Dragon cargo spacecraft; the fifth and final flight for the company's two-stage Falcon 9 v1.0 launch vehicle, and the second SpaceX operational mission contracted to NASA under a Commercial Resupply Services contract. The launch occurred on March 1, 2013. A minor technical issue on the Dragon spacecraft involving the RCS thruster pods occurred upon reaching orbit, but it was recoverable. The vehicle was released, splashed down, and recovered by SpaceX.",Resupply,8
490,Demo Flight 1 (Maiden Flight),This will be the inaugural flight of the Falcon Heavy. The test payload will be SpaceX CEO Elon Musk's midnight cherry Tesla Roadster playing Space Oddity. Destination: An elliptical; heliocentric orbit. Apoapsis: Around Mars' orbital distance.,Test Flight,6
494,SpX CRS-14,SpaceX launched the Dragon spacecraft on their 14th operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
495,SES-12,SES-12 is a geostationary communications satellite. It is to provide direct-to-home broadcasting; high throughput satellite data connectivity and other telecommunication servies to Middle East and the Asia-Pacific region. It is a replacement for the NSS-6 satellite and is expected to operate for 15 years.,Communications,2
500,SpX CRS-15,SpaceX launched the Dragon spacecraft on their 15th operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
510,TESS (Transiting Exoplanet Survey Satellite),"The Transiting Exoplanet Survey Satellite (TESS) is a NASA space telescope; designed to search for exoplanets using the transit method. TESS will identify planets ranging from Earth-sized to gas giants, orbiting a wide range of stellar types and orbital distances. The principal goal of the TESS mission is to detect small planets with bright host stars in the solar neighborhood, so that detailed characterizations of the planets and their atmospheres can be performed.",Astrophysics,7
512,Telstar 19 VANTAGE,"Telstar 19 VANTAGE; or Telstar 19V, is a communications satellite built by Space Systems Loral for the canadian satellite operator Telesat. The satellite is to be placed into 63Â° West orbital slot, where it will provide coverage for North And South America.",Communications,2
517,Telstar 18 VANTAGE,"Telstar 18 VANTAGE; or Telstar 18V, is a communications satellite built by Space Systems Loral for the canadian satellite operator Telesat. The satellite is to provide coverage to the Asia Pacific region.",Communications,2
584,SES-10,"SES-10 is a 5300 kg geostationary communications satellite; which will replace AMC 2 and AMC 3 satellites. It will provide coverage over Mexico, Central and South Americas, and the Caribbean.  The SES-10 mission will mark a historic milestone on the road to full and rapid reusability as the worldâ€™s first reflight of an orbital class rocket. Falcon 9â€™s first stage for the SES-10 mission previously supported the successful CRS-8 mission in April 2016.",Communications,2
655,GTO-1 (Beresheet; S5),Spaceflightâ€™s first mission beyond Lower Earth Orbit (LEO) and its first combined launch with SSL. Consists out lunar lander called Beresheet (Hebrew for in the beginning) and AFRLâ€™s S5 satellite.,Dedicated Rideshare,11
665,Merah Putih (Telkom-4),"Telkom-4; also known as  Merah Putih, is an Indonesian geostationary communications satellite. It will replace the aging Telkom-1 satellite.",Communications,2
694,AsiaSat 8,An SSL built satellite planned to be operated above the equator at a longitude of 105.5 degrees East providing coverage of souther and south-eastern Asia; China and the Middle East.,Communications,2
698,SpX CRS-6,A SpaceX Falcon 9 rocket launched the eighth Dragon spacecraft on the sixth operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
699,ViaSat-3 Americas & Others,The ViaSat-3 is a series of three Ka-band satellites is expected to provide vastly superior capabilities in terms of service speed and flexibility for a satellite platform. Each ViaSat-3 class satellite is expected to deliver more than 1-Terabit per second of network capacity; and to leverage high levels of flexibility to dynamically direct capacity to where customers are located.  Also onboard this mission is Astranis's first MicroGEO satellite and Gravity Space’s GS-1 satellite.,Communications,2
702,TurkmenÃ„lem52E/MonacoSAT,"A geostationary satellite built by Thales Alenia Space stationed at 52 degrees East providing coverage of Europe; the Middle East, Africa and Asia.",Communications,2
710,SpX CRS-16,SpaceX launched the Dragon spacecraft on their 16th operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
719,Spaceflight SSO-A,"Dedicated rideshare launching payloads into sun-synchronous orbit. Payloads include ORS-6; EU:CROPIS, STPSat-5, BlackSky Global-1 to -4, HawkEye Pathfinder 1-3, Iceye, NEXTSat-1, 2 SkySats, Centauri II, and a Flock of Doves.",Dedicated Rideshare,17
735,Es'hail 2,Es'hail 2 is a communications satellite operated by a Quatar based company. The satellite will operate at 26 degrees East longitude along a geostationary orbit to provide direct-to-home television services in the Middle East and North Africa region.,Communications,2
738,STP-2,"The STP-2 payload is composed of 25 small spacecraft. Included is COSMIC-2 constellation to provide radio occultation data; along with 8 cubesat nanosatellites.  Other payloads include LightSail carried by the Prox-1 nanosatellite, Oculus-ASR nanosatellite, GPIM and the Deep Space Atomic Clock.",Dedicated Rideshare,8
739,Iridium-8,"SpaceX's Falcon 9 rocket will deliver 10 satellites to low Earth orbit for Iridium; a global leader in mobile voice and data satellite communications. This is the eighth set of 10 satellites in a series of 75 total satellites that SpaceX will launch for Iridium's next generation global satellite constellation, Iridium NEXT.",Communications,13
808,Thaicom-6,"Thaicom 6 is a planned Thai television satellite of the Thaicom series; to be operated by Thaicom Public Company Limited (formerly Shin Satellite Public Company Limited), a subsidiary of Shin Corporation, headquartered in Bangkok, Thailand. Thaicom 6 will be colocated with Thaicom 5 at 78.5 degrees East, (""Hot Bird"" position), in Geostationary orbit. The total cost for the satellite is US$160 million. The launch is planned for January 3, 2014 by Space Exploration Technologies Corp. on a Falcon 9 v1.1 launch vehicle.",Earth Science,2
819,SES-9,"Containing 81 Ku-Band transponders; SES-9 will be positioned at 108.2 degrees East to provide communication coverage for 22 million homes. The satellite will enhance SESâ€™s existing coverage in Asia, Australia and also improve maritime communications in the Indian Ocean. The 5300kg craft will use a xenon ion propulsion system for orbital manoeuvres to decrease the amount of propellant needed.",Communications,2
848,SpX CRS-7,"A SpaceX Falcon 9 rocket launched the ninth Dragon spacecraft on the seventh operational cargo delivery mission to the International Space Station as part of the NASA cargo resupply contract. It was meant to deliver the IDA-1 segment of the new ISS International Docking System.  The second stage ruptured due to an overpressurization event and the launch vehicle disintegrated at T+139 seconds. According to SpaceX investigation; ""Preliminary analysis suggests the overpressure event in the upper stage liquid oxygen tank was initiated by a flawed piece of support hardware (a â€œstrutâ€) inside the second stage.""",Resupply,8
902,"GPS III SV01 ""Vespucci""","GPS-IIIA (Global Positioning System) is the first evolution stage of the third generation of the GPS satellites. It consists of the first ten (known as ""tranche"") of GPS III satellites.  This program will improve position; navigation, and timing services for the warfighter and civil users worldwide and provide advanced anti-jam capabilities yielding superior system security, accuracy and reliability.",Navigation,12
910,Sentinel-6 Michael Freilich (Sentinel-6A; Jason-CS),"The Sentinel-6 Michael Freilich and Sentinel-6B make up the Sentinel-6 mission; also known as Jason Continuity of Service (Jason-CS), which is a partnership between NASA, NOAA, ESA, and EUMETSAT. This mission  continues the long-term global sea surface height data record begun by first Jason satellites in 1992.   Named after former NASA Earth Science Division Director Michael Freilich, Sentinel-6 Michail Freilich will provide altimeter data necessary for ocean climate monitoring, ocean modelling and numerical ocean prediction, weather forecasting, marine meteorology, coastal altimetry and modelling. A secondary objective of the mission is to collect high-resolution vertical profiles of temperature, using the Global Navigation Satellite System (GNSS) Radio-Occultation sounding technique, to assess temperature changes in the troposphere and stratosphere and to support numerical weather prediction.  Sentinel-6 Michael Freilich is to operate in a highly-inclined circular orbit at an altitude of 1336 km, with an operational mission lasting 5 years. Near-identical Sentinel-6B is planned to follow-up shortly after.",Earth Science,8
963,SpaceX DM-1 (Demonstration Mission 1),This is the first test flight of Crew Dragon 2 to the International Space Station marking a huge milestone towards the Commercial Crew program.,Test Flight,8
977,Arabsat-6A,"Arabsat-6A is a Saudi Arabian communications satellite to be positioned at 30.5Â°East orbital slot. Arabsat-6A was built by Lockheed Martin for Arabsat and will deliver TV; internet and mobile phone services to the Middle East, Africa and Europe.",Communications,2
978,Amos-17,"Amos-17 is a multi-band high-throughput satellite which will operate from 17Â°E; offering Ka-band, Ku-band, and C-Band services to users in Africa, the Middle East and Europe.",Communications,2
980,CSG-2,CSG-2 is an Earth observation satellite for the Italian Space Agency; part of a reconnaissance constellation using synthetic aperture radars operating in the X-band.,Earth Science,17
983,Crew Dragon In-Flight Abort Test,"When the Falcon 9 Block 5 rocket reaches Max-Q (maximum dynamic forces); the launch abort system of the Crew Dragon spacecraft will be triggered. This will fire up its SuperDraco engines and propel the spacecraft and its theoretical passengers away from the launch vehicle before landing back safely in the Atlantic Ocean.  The goal of this test is to demonstrate the capacity of the spacecraft to ensure a safe return to the ground for the astronauts in the event of a launch vehicle failure.  The booster for this launch will be B1046, a thrice-flown core which was the first of the Block 5 generation. It will not attempt to land and is expected to be destroyed by the SuperDracos and aerodynamic loads.",Test Flight,15
986,Double Asteroid Redirection Test (DART),"Double Asteroid Redirection Test (DART) mission is the first-ever mission to demonstrate the capability to deflect an asteroid by colliding a spacecraft with it at high speed; a technique known as a kinetic impactor.  DART is a planetary defense-driven test of one of the technologies for preventing the Earth impact of a hazardous asteroid: the kinetic impactor.  DART's primary objective is to demonstrate a kinetic impact on a small asteroid.  The binary near-Earth asteroid (65803) Didymos is the target for DART.   While Didymos' primary body is approximately 800 meters across, its secondary body has a 150-meter size, which is more typical of the size of asteroids that could pose a more common hazard to Earth.  The DART spacecraft will achieve the kinetic impact by deliberately crashing itself into the moonlet at a speed of approximately 6 km/s, with the aid of an onboard camera and sophisticated autonomous navigation software. The collision will change the speed of the moonlet in its orbit around the main body by a fraction of one percent, enough to be measured using telescopes on Earth.",Robotic Exploration,6
987,SpX CRS-17,SpaceX launched the Dragon spacecraft on their 17th operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
988,RADARSAT Constellation,"The Radarsat Constellation Mission is a follow-on project to RADARSAT-2 currently developed by MDA. The constellation will consist of a fleet of three spacecraft; and be both complementary and a follow-on to the upcoming deployment of the RADARSAT-2 mission. The primary purpose of the RCM is to provide C-Band data continuity for RADARSAT-2 users, as well as adding a new series of applications enabled through the constellation approach.  The main uses of RCM are expected to be in the areas of: maritime surveillance (ship detection, ice monitoring, and oil spill detection), disaster management, ecosystem monitoring.  The primary areas of interest are the landmass of Canada and its surrounding Arctic, Pacific and Atlantic maritime areas. The images and derived information are required to be provided to Canadian government users at frequent area coverage rates. Contrary to the earlier RadarSat missions, the imagery will not be available commercially.  The spacecraft Payload will consist of a Synthetic Aperture Radar (SAR) sensor integrated with an Automated Identification System (AIS). The SAR Payload concept is a 2-panel deployable SAR antenna of length approximately 7 meters.",Earth Science,17
993,Starlink Demo,An initial batch of 60 satellites meant to test Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1004,ANASIS-II,ANASIS-II is South Korea's first dedicated military satellite.,Government/Top Secret,2
1010,SpX CRS-18,SpaceX launched the Dragon spacecraft on their 18th operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.,Resupply,8
1011,SpX CRS-19,"SpaceX launched the Dragon spacecraft on their 19th operational cargo delivery mission to the International Space Station. The flight was conducted under the Commercial Resupply Services contract with NASA.  Dragon was filled with approximately 5;700 pounds of supplies and payloads, including critical materials to directly support more than 250 science and research investigations that occur onboard the orbiting laboratory.",Resupply,8
1027,Starlink 1,"A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system. Since the demo launch of Starlink satellites; SpaceX has increased spectrum capacity for the end-user through upgrades in design that maximize the use of both Ka and Ku bands. Additionally, components of each satellite are 100% destructible and will quickly burn up in Earthâ€™s atmosphere at the end of their life cycle.",Communications,8
1028,Starlink 2,A batch of 60 satellites for Starlink mega-constellation - SpaceX's project for space-based Internet communication system.,Communications,8
1029,"GPS III SV03 ""Columbus""","GPS-IIIA (Global Positioning System) is the first evolution stage of the third generation of the GPS satellites. It consists of the first ten (known as ""tranche"") of GPS III satellites.",Navigation,12
1040,Starship SN5 150m Hop,The Starship SN5 first flight was a 150m 'hop' from SpaceX's South Texas Launch Site in Boca Chica Village.,Test Flight,15
1044,SXM-7,SXM-7 is a large high power broadcasting satellite for SiriusXM's digital audio radio service (DARS).  Space Systems/Loral (SS/L) got in July 2016 the contract to build the two satellites based on their SSL-1300 bus - SXM-7 and SXM-8. Both operate in the S-band spectrum. Each satellite will generate more than 20-kW of power and will have a large unfurlable antenna reflector; which enables broadcast to radios without the need for large dish-type antennas on the ground.  SXM-7 is meant to replace the XM-3 satellite.,Communications,2
1045,SXM-8,"SXM-8 is a large high power broadcasting satellite for SiriusXM's digital audio radio service (DARS).  Space Systems/Loral (SS/L) got in July 2016 the contract to build the two satellites based on their SSL-1300 bus - SXM-7 and SXM-8. Satellite design operates in the S-band spectrum. Each satellite will generate more than 20-kW of power and will have a large unfurlable antenna reflector; which enables broadcast to radios without the need for large dish-type antennas on the ground.  SXM-8 is meant to replace the XM-4 satellite. SXM-7 was meant to replace the XM-3, but suffered a failure in orbit 6 weeks after its launch.",Communications,2
